name,media_type
pravdive.eu,antisystem
tyden.cz,tabloid
denik.cz,mainstream
idnes.cz - blog,opinion
zpravy.iDNES.cz,mainstream
ct24.cz,mainstream
aktualne.cz,mainstream
iHNed.cz,mainstream
e15.cz,mainstream
neviditelnypes.cz,political_tabloid
reflex.cz,opinion
politicke-listy.cz,antisystem
zpravy.rozhlas.cz,mainstream
ceskenoviny.cz,mainstream
tn.cz,mainstream
24zpravy.com,market_driven
blog.idnes.cz,opinion
respekt.cz,opinion
tnbiz.cz,mainstream
nazory.aktualne.cz,opinion
prazsky.denik.cz,other
ihned.cz,mainstream
zet.cz,mainstream
5plus2,mainstream
romea.cz,other
almanach.cz,antisystem
zpravy.tiscali.cz,mainstream
cz24.news,antisystem
securitymagazin.cz,other
ceskobudejovicky.denik.cz,other
jindrichohradecky.denik.cz,other
ceskokrumlovsky.denik.cz,other
taborsky.denik.cz,other
pisecky.denik.cz,other
strakonicky.denik.cz,other
prachaticky.denik.cz,other
ČRo - plus.cz,mainstream
kladensky.denik.cz,other
ceskepodcasty.cz,other
kutnohorsky.denik.cz,other
benesovsky.denik.cz,other
nymbursky.denik.cz,other
boleslavsky.denik.cz,other
brnensky.denik.cz,other
pribramsky.denik.cz,other
berounsky.denik.cz,other
rakovnicky.denik.cz,other
Katolický týdeník,opinion
melnicky.denik.cz,other
kolinsky.denik.cz,other
moravskoslezsky.denik.cz,other
ustecky.denik.cz,other
breclavsky.denik.cz,other
karvinsky.denik.cz,other
fm.denik.cz,other
hodoninsky.denik.cz,other
znojemsky.denik.cz,other
mostecky.denik.cz,other
blanensky.denik.cz,other
vyskovsky.denik.cz,other
plzensky.denik.cz,other
newsbox.cz,market_driven
bruntalsky.denik.cz,other
hradecky.denik.cz,other
decinsky.denik.cz,other
havlickobrodsky.denik.cz,other
zdarsky.denik.cz,other
opavsky.denik.cz,other
novojicinsky.denik.cz,other
jihlavsky.denik.cz,other
orlicky.denik.cz,other
czpravy.cz,market_driven
liberecky.denik.cz,other
pardubicky.denik.cz,other
teplicky.denik.cz,other
rychnovsky.denik.cz,other
ceskolipsky.denik.cz,other
jablonecky.denik.cz,other
karlovarsky.denik.cz,other
trebicsky.denik.cz,other
chomutovsky.denik.cz,other
olomoucky.denik.cz,other
zatecky.denik.cz,other
sokolovsky.denik.cz,other
ahaonline.cz,tabloid
chebsky.denik.cz,other
litomericky.denik.cz,other
chrudimsky.denik.cz,other
radio.cz,mainstream
klatovsky.denik.cz,other
krkonossky.denik.cz,other
domazlicky.denik.cz,other
jicinsky.denik.cz,other
zlinsky.denik.cz,other
tachovsky.denik.cz,other
pelhrimovsky.denik.cz,other
slovacky.denik.cz,other
svitavsky.denik.cz,other
rokycansky.denik.cz,other
nachodsky.denik.cz,other
valassky.denik.cz,other
vasevec.cz,political_tabloid
kromerizsky.denik.cz,other
sumpersky.denik.cz,other
prerovsky.denik.cz,other
prostejovsky.denik.cz,other
hranicky.denik.cz,other
pravo.cz,mainstream
podripsky.denik.cz,other
G.cz,market_driven
sport.iDNES.cz,other
businessinfo.cz,institution_web
talk.youradio.cz,other
ods.cz,party_web
Obchodní věstník,other
magazin.panobcan.cz,antisystem
regiony.impuls.cz,mainstream
ČRo Plzeň,other
Euro,mainstream
ČRo - radiozurnal.cz,mainstream
ČRo Dvojka,mainstream
databazeknih.cz,other
Téma,mainstream
ČRo Hradec Králové,other
Pražský deník,other
ČRo Pardubice,other
sport.cz,other
enviweb.cz,opinion
nezpravy.cz,market_driven
nova.cz,mainstream
Týdeník Echo,opinion
isport.cz,other
ČRo Brno,other
itmix.cz,other
ČRo - wave.cz,mainstream
ekolist.cz,opinion
Seznam.cz TV,mainstream
roadcycling.cz,other
Radio Praha,other
necenzurovanapravda.cz,antisystem
ČRo - dvojka.cz,mainstream
feedit.cz,other
megazine.cz,antisystem
Týdeník Rozhlas,mainstream
staloseted.cz,market_driven
spd.cz,party_web
Ekonom,mainstream
Regina DAB Praha,other
Hitrádio FM,mainstream
dotyk.cz,mainstream
ČRo Ostrava,other
Týdeník Květy,mainstream
ČRo Olomouc,other
seznam.cz,mainstream
knihcentrum.cz,other
kritiky.cz,other
ČRo České Budějovice,other
Chebský deník,other
proglas.cz,opinion
praguemonitor.com,mainstream
prahain.cz,other
Děčínský deník,other
svobodnymonitor.cz,antisystem
protext.cz,other
ceskenovinky1.eu,market_driven
prvnizpravy.parlamentnilisty.cz,antisystem
blog.ihned.cz,opinion
dialog.ihned.cz,opinion
pravyprostor.net,antisystem
Kroměřížský deník,other
Literární noviny,opinion
ekonomika.iDNES.cz,mainstream
Čro Zlín,other
stoplusjednicka.cz,mainstream
Tvar,opinion
brnenskadrbna.cz,other
forbes.cz,mainstream
kinobox.cz,other
wn24.cz,market_driven
iliteratura.cz,other
forexbanka.cz,market_driven
